step,loss,acc
2160,1560.58813,0.90625
2170,4384.95410,0.84375
2180,2174.33496,0.92188
2190,3140.29883,0.87500
2200,3935.47363,0.78125
2200,2332.16235,0.89640
2210,4506.19824,0.87500
2220,3705.91797,0.82812
2230,1492.53369,0.93750
2240,829.95514,0.93750
2250,1018.10162,0.95312
2260,2222.92529,0.90625
2270,3997.78052,0.90625
2280,1455.37964,0.87500
2290,1982.62170,0.89062
2300,1716.31104,0.95312
2300,1785.77502,0.91900
2310,3099.48193,0.87500
2320,1479.63147,0.95312
2330,1966.87781,0.92188
2340,2248.30933,0.92188
2350,1926.37012,0.84375
2360,3491.95850,0.89062
2370,1231.16589,0.87500
2380,2308.38232,0.85938
2390,180.29626,0.96875
2400,708.39111,0.95312
2400,1924.94238,0.91560
2410,1618.83386,0.89062
2420,3636.51318,0.82812
2430,249.80225,0.96875
2440,964.69934,0.92188
2450,1095.76477,0.89062
2460,1505.82178,0.93750
2470,2833.51172,0.89062
2480,2016.17163,0.89062
2490,2293.35913,0.92188
2500,405.14520,0.96875
2500,1412.02319,0.93440
2510,1032.19922,0.92188
2520,2564.08301,0.93750
2530,2167.21973,0.89062
2540,2359.09717,0.85938
2550,2325.97534,0.93750
2560,3906.18652,0.90625
2570,1940.03369,0.90625
2580,2060.68457,0.85938
2590,1254.90820,0.95312
2600,1419.42590,0.85938
2600,1393.32825,0.92940
2610,2786.19434,0.85938
2620,1902.12549,0.90625
2630,3738.70898,0.84375
2640,3219.59668,0.90625
2650,3597.37402,0.85938
2660,2094.25952,0.89062
2670,2968.31396,0.89062
2680,2453.55371,0.92188
2690,3366.11816,0.85938
2700,551.21027,0.92188
2700,1835.38599,0.91160
2710,2828.30566,0.92188
2720,3769.91748,0.84375
2730,1709.06775,0.92188
2740,77.96808,0.96875
2750,1039.61951,0.95312
2760,1200.57104,0.93750
2770,1119.37683,0.90625
2780,544.11792,0.95312
2790,951.35919,0.95312
2800,385.65643,0.93750
2800,1714.71924,0.91680
2810,2215.11499,0.93750
2820,2868.29028,0.85938
2830,2003.28101,0.92188
2840,1045.39307,0.93750
2850,1247.46570,0.89062
2860,2546.98267,0.85938
2870,3633.00659,0.85938
2880,1454.42773,0.93750
2890,1185.54138,0.89062
2900,3139.87207,0.87500
2900,1381.23682,0.92420
2910,1957.12708,0.87500
2920,2913.38916,0.90625
2930,921.21375,0.93750
2940,1669.28552,0.93750
2950,328.45251,0.95312
2960,1305.95959,0.92188
2970,2647.76953,0.84375
2980,954.54877,0.95312
2990,2223.63989,0.90625
3000,1610.15381,0.85938
3000,1643.55481,0.91020
3010,2766.77905,0.93750
3020,2392.08301,0.85938
3030,1180.73682,0.89062
3040,1634.82739,0.90625
3050,1859.90039,0.84375
3060,2396.47607,0.82812
3070,1760.11877,0.90625
3080,119.99872,0.98438
3090,1317.10474,0.92188
3100,3044.38574,0.92188
3100,1279.28735,0.93140
3110,1276.52563,0.92188
3120,1652.30554,0.93750
3130,1963.65955,0.90625
3140,1384.49561,0.93750
3150,2606.72900,0.90625
3160,662.35785,0.95312
3170,1169.03882,0.93750
3180,3656.29102,0.87500
3190,2196.57104,0.87500
3200,1510.06494,0.93750
3200,1323.46594,0.93200
3210,460.12793,0.93750
3220,1336.38306,0.93750
3230,1309.45605,0.93750
3240,1461.43921,0.95312
3250,2119.42285,0.89062
3260,2581.37109,0.87500
3270,2313.90796,0.89062
3280,844.10645,0.92188
3290,2852.77783,0.85938
3300,976.60065,0.92188
3300,1109.21655,0.94140
3310,798.43127,0.93750
3320,1369.12988,0.92188
3330,1920.42603,0.89062
3340,134.63605,0.95312
3350,1648.32739,0.89062
3360,1383.88184,0.95312
3370,835.64886,0.90625
3380,153.56812,0.96875
3390,702.34723,0.92188
3400,208.65283,0.93750
3400,1029.90845,0.94220
3410,3239.80908,0.82812
3420,464.48138,0.95312
3430,664.63348,0.92188
3440,1621.32715,0.90625
3450,2475.89209,0.90625
3460,281.30661,0.95312
3470,599.17804,0.90625
3480,2121.31030,0.92188
3490,909.91205,0.93750
3500,2408.23096,0.89062
3500,1171.81116,0.94060
3510,1331.48560,0.92188
3520,1630.30725,0.87500
3530,950.78424,0.92188
3540,1032.64978,0.90625
3550,281.56464,0.96875
3560,310.18634,0.93750
3570,2667.19702,0.90625
3580,2188.92627,0.93750
3590,91.22986,0.96875
3600,541.59595,0.90625
3600,1078.39038,0.93820
3610,412.30573,0.90625
3620,434.62494,0.95312
3630,3712.15430,0.85938
3640,833.38898,0.90625
3650,408.18781,0.95312
3660,240.36371,0.95312
